                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.83966,                0.70266,                 1.0192,                0.92529,                0.81395,                0.88774,                0.74588,                0.71658,                0.52008,                0.92077,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     84,                0.84245,                0.70928,                 1.0488,                0.92664,                0.81379,                 0.8887,                0.74715,                0.71517,                 0.5188,                0.92003,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     85,                0.85429,                0.71597,                 1.0362,                0.92657,                0.81453,                0.88849,                0.74687,                 0.7141,                0.51654,                0.91984,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     86,                 0.8503,                0.70506,                 1.0207,                0.92446,                0.81549,                0.88932,                0.74763,                0.71306,                0.51659,                0.91945,              2.004e-05,              2.004e-05,              2.004e-05
                     87,                0.85709,                0.71096,                 1.0433,                0.92442,                0.81696,                0.89088,                 0.7474,                0.71126,                0.51598,                 0.9185,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     88,                0.78141,                 0.6751,                 1.0061,                0.92544,                0.81665,                0.89121,                0.74812,                0.71005,                0.51593,                0.91792,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     89,                0.81582,                0.67124,                 1.0149,                0.92377,                0.81705,                0.89167,                0.74989,                0.70871,                0.51513,                0.91749,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     90,                0.81846,                0.67945,                 1.0334,                0.92467,                0.81405,                0.89199,                0.75015,                0.70717,                0.51455,                0.91687,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     91,                0.88347,                 0.7947,                 1.0333,                0.92078,                0.81781,                0.89229,                0.74789,                0.70956,                0.51897,                0.91656,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     92,                0.88128,                0.73005,                 1.0146,                0.90867,                0.82081,                0.89163,                0.74522,                0.71287,                0.52209,                0.91699,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     93,                0.87027,                0.71498,                 1.0039,                0.90235,                0.82386,                0.89124,                 0.7429,                0.71702,                 0.5256,                0.91853,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     94,                0.85369,                0.70148,                0.99892,                 0.9002,                0.82289,                0.88906,                0.73533,                 0.7229,                 0.5304,                0.92052,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     95,                0.87709,                0.73767,                   1.02,                0.89117,                0.82589,                 0.8878,                0.73299,                0.72765,                0.53377,                0.92213,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     96,                0.83599,                0.67964,                 1.0153,                0.89331,                0.82471,                0.88833,                0.73816,                0.72902,                0.53505,                0.92215,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     97,                0.84452,                0.69746,                0.99002,                0.90469,                0.80151,                0.87696,                0.73183,                0.73443,                0.54131,                0.92385,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     98,                0.82452,                0.65435,                 1.0066,                0.89201,                0.82114,                0.88775,                0.73112,                0.73441,                0.54149,                0.92392,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     99,                0.80887,                0.65876,                0.97959,                 0.8916,                0.82164,                0.88751,                0.73185,                0.73546,                0.54289,                0.92418,             4.7243e-06,             4.7243e-06,             4.7243e-06
                    100,                0.78962,                0.66107,                 1.0054,                0.89489,                 0.8228,                0.88891,                0.73274,                0.73418,                0.54265,                0.92388,             3.5462e-06,             3.5462e-06,             3.5462e-06
